Price,Adj Close,Close,High,Low,Open,Volume
Ticker,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS
Date,,,,,,
2021-12-22,773.15771484375,797.5,801.0,777.5,785.0,5871235
2021-12-23,768.2617797851562,792.4500122070312,803.9500122070312,790.0,801.8499755859375,4277384
2021-12-24,761.427001953125,785.4000244140625,794.7999877929688,777.5999755859375,793.4000244140625,3076272
2021-12-27,769.8613891601562,794.0999755859375,796.5999755859375,781.1500244140625,784.0,3598487
2021-12-28,790.220458984375,815.0999755859375,819.9000244140625,794.2000122070312,796.0,5477769
2021-12-29,813.197021484375,838.7999877929688,843.6500244140625,816.5,822.5,8748856
2021-12-30,808.9797973632812,834.4500122070312,841.9500122070312,827.3499755859375,836.6500244140625,5179861
2021-12-31,819.8864135742188,845.7000122070312,850.9500122070312,834.0,834.4500122070312,3346523
2022-01-03,823.0371704101562,848.9500122070312,860.0499877929688,840.9000244140625,845.0,3726756
2022-01-04,812.130615234375,837.7000122070312,854.0,832.4000244140625,852.5,3027262
2022-01-05,809.6099243164062,835.0999755859375,844.5499877929688,830.6500244140625,840.0,2436343
2022-01-06,804.2777709960938,829.5999755859375,844.9000244140625,822.0,837.7999877929688,2423850
2022-01-07,803.647705078125,828.9500122070312,836.0,825.2000122070312,829.5999755859375,1475374
2022-01-10,801.4663696289062,826.7000122070312,835.0,817.5499877929688,832.0999755859375,4837873
2022-01-11,806.9924926757812,832.4000244140625,841.5,828.2999877929688,830.9000244140625,4950526
2022-01-12,810.6763305664062,836.2000122070312,845.0,827.5,845.0,3953446
2022-01-13,839.08203125,865.5,871.0,834.25,836.2000122070312,7395140
2022-01-14,833.507568359375,859.75,868.9000244140625,856.7999877929688,865.5,2351963
2022-01-17,827.157470703125,853.2000122070312,863.4000244140625,850.5,859.75,1750754
2022-01-18,820.8558959960938,846.7000122070312,867.2000122070312,845.0,855.0,3354708
2022-01-19,812.9061889648438,838.5,848.0,834.0,848.0,1677779
2022-01-20,794.970947265625,820.0,842.75,815.6500244140625,839.2999877929688,2886894
2022-01-21,784.064208984375,808.75,819.7000122070312,801.0999755859375,816.5,3218477
2022-01-24,776.4053955078125,800.8499755859375,825.0,791.5999755859375,804.0,5300160
2022-01-25,783.3855590820312,808.0499877929688,811.7000122070312,784.7999877929688,791.0,3779497
2022-01-27,787.31201171875,812.0999755859375,817.4000244140625,791.2999877929688,802.0,3593525
2022-01-28,802.096435546875,827.3499755859375,842.9000244140625,812.0999755859375,816.0,5073701
2022-01-31,809.0282592773438,834.5,849.75,820.0499877929688,830.0999755859375,8041517
2022-02-01,864.5308227539062,891.75,895.0,839.8499755859375,847.4000244140625,12337459
2022-02-02,863.4644165039062,890.6500244140625,898.4500122070312,882.0,890.0,4404741
2022-02-03,856.5811157226562,883.5499877929688,891.2000122070312,880.4500122070312,889.3499755859375,2292825
2022-02-04,866.6636962890625,893.9500122070312,902.8499755859375,881.3499755859375,882.9000244140625,4222492
2022-02-07,859.9742431640625,887.0499877929688,901.4500122070312,879.7000122070312,901.4500122070312,3494623
2022-02-08,866.80908203125,894.0999755859375,895.9500122070312,882.0,886.0,4766558
2022-02-09,866.1739501953125,886.4500122070312,894.5499877929688,885.3499755859375,893.9000244140625,2874380
2022-02-10,873.8444213867188,894.2999877929688,896.25,880.0,891.4000244140625,3159839
2022-02-11,859.96923828125,880.0999755859375,895.7999877929688,874.6500244140625,894.5999755859375,2682532
2022-02-14,845.0679931640625,864.8499755859375,886.6500244140625,862.2000122070312,870.0,5163415
2022-02-15,856.74462890625,876.7999877929688,880.0,859.0499877929688,862.5,3219287
2022-02-16,848.9765014648438,868.8499755859375,881.1500244140625,867.0999755859375,876.0,2136415
2022-02-17,842.8206176757812,862.5499877929688,872.3499755859375,861.2999877929688,872.3499755859375,2275289
2022-02-18,843.16259765625,862.9000244140625,867.9000244140625,856.4000244140625,862.5499877929688,1797851
2022-02-21,824.5484008789062,843.8499755859375,864.0,839.5,855.5,2305713
2022-02-22,826.4537353515625,845.7999877929688,849.0,824.5999755859375,836.0,3171552
2022-02-23,821.03076171875,840.25,853.0,838.0499877929688,849.8499755859375,1979574
2022-02-24,799.533935546875,818.25,836.9500122070312,815.0,830.5999755859375,3679222
2022-02-25,812.5296630859375,831.5499877929688,835.0,817.0499877929688,820.5,2098988
2022-02-28,824.5972290039062,843.9000244140625,847.0,821.0,821.0,4123139
2022-03-02,802.123291015625,820.9000244140625,844.9500122070312,815.7000122070312,844.3499755859375,3807036
2022-03-03,802.123291015625,820.9000244140625,832.7999877929688,817.0,832.7999877929688,2657776
2022-03-04,810.6731567382812,829.6500244140625,839.5999755859375,809.3499755859375,816.2999877929688,4082674
2022-03-07,803.833251953125,822.6500244140625,829.0,809.0999755859375,818.0,3065234
2022-03-08,835.443359375,855.0,861.7000122070312,826.2000122070312,826.2000122070312,4864275
2022-03-09,848.3903198242188,868.25,885.7999877929688,860.0,863.4000244140625,7276355
2022-03-10,849.6605834960938,869.5499877929688,881.9000244140625,866.5999755859375,869.9000244140625,2899758
2022-03-11,881.3682250976562,902.0,907.0,869.0499877929688,872.0,7194497
2022-03-14,871.84130859375,892.25,911.7999877929688,889.9500122070312,901.9500122070312,3861194
2022-03-15,871.2550659179688,891.6500244140625,908.0,881.3499755859375,893.7000122070312,4039746
2022-03-16,868.861083984375,889.2000122070312,900.0,880.4500122070312,900.0,3134307
2022-03-17,890.7486572265625,911.5999755859375,915.0,892.2000122070312,892.2000122070312,5484100
2022-03-21,892.8983154296875,913.7999877929688,931.0,911.2999877929688,912.5,3878744
2022-03-22,893.1915283203125,914.0999755859375,922.0,902.5,913.7999877929688,2174495
2022-03-23,880.1956787109375,900.7999877929688,926.0,895.7999877929688,918.0,2578669
2022-03-24,888.0615844726562,908.8499755859375,914.7000122070312,885.5,886.0,3141478
2022-03-25,881.710205078125,902.3499755859375,914.9500122070312,896.2999877929688,911.8499755859375,1571676
2022-03-28,885.1791381835938,905.9000244140625,910.9000244140625,899.2999877929688,908.9000244140625,1545077
2022-03-29,898.3214721679688,919.3499755859375,922.0,901.0999755859375,908.0499877929688,3177777
2022-03-30,899.5428466796875,920.5999755859375,922.0,908.4000244140625,922.0,2084073
2022-03-31,893.82666015625,914.75,927.0,910.7999877929688,920.5999755859375,1901705
2022-04-01,887.9150390625,908.7000122070312,919.0,904.0999755859375,914.0,1184766
2022-04-04,904.8681640625,926.0499877929688,928.7999877929688,902.5999755859375,908.0,1876408
2022-04-05,907.8483276367188,929.0999755859375,940.7000122070312,924.1500244140625,928.0,2911697
2022-04-06,906.8712768554688,928.0999755859375,938.7999877929688,925.0,927.7999877929688,1881754
2022-04-07,909.6560668945312,930.9500122070312,948.0,926.8499755859375,928.0999755859375,2728625
2022-04-08,903.4512939453125,924.5999755859375,937.2999877929688,919.2999877929688,937.0,1453271
2022-04-11,904.2330322265625,925.4000244140625,933.5499877929688,918.5999755859375,920.0,1102625
2022-04-12,900.226806640625,921.2999877929688,928.1500244140625,911.4000244140625,920.0,1420380
2022-04-13,915.3234252929688,936.75,943.0,921.2999877929688,921.2999877929688,1825531
2022-04-18,906.2850341796875,927.5,941.0499877929688,919.25,927.5999755859375,1287320
2022-04-19,900.9108276367188,922.0,937.75,915.0499877929688,930.9500122070312,2001066
2022-04-20,902.3765258789062,923.5,931.0,916.0499877929688,918.0,1455897
2022-04-21,922.5053100585938,944.0999755859375,946.0,920.5999755859375,931.0,2410164
